customer_id,recency_days,frequency,monetary,ticket_count,return_rate,abandoned_carts_30d,R_score,F_score,M_score,segment_name
CUST00001,225.0,2.0,3850.7845927131457,1.0,0.0,5,2,1,2,high_intent_abandoner
CUST00002,92.0,5.0,11116.315373228254,2.0,0.0,4,3,4,5,high_value_unhappy
CUST00003,177.0,3.0,4014.805631718911,0.0,0.0,4,2,2,2,high_intent_abandoner
CUST00004,142.0,2.0,2123.8745245340397,0.0,0.0,3,3,1,1,high_intent_abandoner
CUST00005,106.0,2.0,2933.7878557564345,1.0,0.0,3,3,1,1,high_intent_abandoner
CUST00006,150.0,2.0,3708.0948714057954,1.0,0.5,1,2,1,2,dormant_customers
CUST00007,44.0,3.0,7352.240877365039,1.0,0.0,2,4,2,3,new_customers
CUST00008,176.0,2.0,812.8389888310207,0.0,0.0,3,2,1,1,high_intent_abandoner
CUST00009,999.0,0.0,0.0,2.0,0.0,0,1,1,1,dormant_customers
CUST00010,57.0,5.0,6608.275233564807,0.0,0.2,1,4,4,3,loyal_customers
CUST00011,37.0,4.0,4263.248376789272,1.0,0.25,0,4,3,2,discount_sensitive_customers
CUST00012,112.0,7.0,15863.994667604169,0.0,0.14285714285714285,0,3,5,5,loyal_customers
CUST00013,77.0,5.0,7416.923120115387,0.0,0.0,2,4,4,3,loyal_customers
CUST00014,180.0,5.0,4928.109256500926,0.0,0.0,0,2,4,2,discount_sensitive_customers
CUST00015,999.0,0.0,0.0,0.0,0.0,0,1,1,1,dormant_customers
CUST00016,29.0,2.0,5076.25334918644,1.0,0.0,5,5,1,2,high_intent_abandoner
CUST00017,144.0,4.0,7692.25742742857,1.0,0.5,0,3,3,4,loyal_customers
CUST00018,19.0,2.0,3648.5457136076784,1.0,0.0,0,5,1,2,new_customers
CUST00019,10.0,14.0,20481.18484726965,1.0,0.07142857142857142,1,5,5,5,champions
CUST00020,593.0,1.0,3370.2979403432114,0.0,0.0,1,1,1,1,dormant_customers
CUST00021,500.0,3.0,5322.593278219743,3.0,0.0,2,1,2,2,dormant_customers
CUST00022,204.0,7.0,12436.11854455498,0.0,0.0,2,2,5,5,at_risk_customers
CUST00023,3.0,4.0,7131.404592222367,0.0,0.25,5,5,3,3,loyal_customers
CUST00024,157.0,2.0,3925.7723926464314,2.0,0.0,0,2,1,2,dormant_customers
CUST00025,2.0,7.0,9559.291475311433,1.0,0.42857142857142855,4,5,5,4,champions
CUST00026,96.0,2.0,3571.4848403398773,1.0,0.0,0,3,1,2,discount_sensitive_customers
CUST00027,110.0,2.0,6419.789197752683,1.0,0.0,0,3,1,3,discount_sensitive_customers
CUST00028,255.0,3.0,7050.743690041221,1.0,0.3333333333333333,5,2,2,3,high_intent_abandoner
CUST00029,161.0,7.0,14866.647340708527,1.0,0.0,2,2,5,5,at_risk_customers
CUST00030,55.0,2.0,3626.7041018894993,1.0,0.5,3,4,1,2,high_intent_abandoner
CUST00031,265.0,4.0,6452.2339770139715,0.0,0.25,2,1,3,3,at_risk_customers
CUST00032,999.0,0.0,0.0,1.0,0.0,1,1,1,1,dormant_customers
CUST00033,350.0,2.0,3816.2215931731935,0.0,0.0,2,1,1,2,dormant_customers
CUST00034,999.0,0.0,0.0,0.0,0.0,5,1,1,1,high_intent_abandoner
CUST00035,12.0,5.0,9959.969312022347,0.0,0.2,3,5,4,4,champions
CUST00036,156.0,4.0,8503.722545363678,1.0,0.0,0,2,3,4,at_risk_customers
CUST00037,265.0,4.0,8904.793230043797,0.0,0.5,3,1,3,4,at_risk_customers
CUST00038,138.0,4.0,6182.137709051568,0.0,0.0,5,3,3,3,loyal_customers
CUST00039,74.0,4.0,7368.7826650149955,0.0,0.0,5,4,3,3,loyal_customers
CUST00040,2.0,6.0,16157.981962196423,2.0,0.16666666666666666,2,5,5,5,high_value_unhappy
CUST00041,19.0,7.0,10802.096248497262,0.0,0.14285714285714285,4,5,5,5,champions
CUST00042,78.0,2.0,4813.07912314015,1.0,0.0,5,4,1,2,high_intent_abandoner
CUST00043,230.0,6.0,13263.084910257694,0.0,0.0,1,2,5,5,at_risk_customers
CUST00044,225.0,2.0,2540.3490109891427,1.0,0.0,5,2,1,1,high_intent_abandoner
CUST00045,195.0,2.0,4839.783024790288,0.0,0.0,3,2,1,2,high_intent_abandoner
CUST00046,16.0,3.0,5357.469712558002,0.0,0.0,5,5,2,2,high_intent_abandoner
CUST00047,517.0,2.0,942.7058822920221,2.0,0.5,2,1,1,1,dormant_customers
CUST00048,228.0,2.0,3674.34863347746,1.0,0.0,0,2,1,2,dormant_customers
CUST00049,75.0,5.0,12080.947009851585,1.0,0.0,2,4,4,5,champions
CUST00050,237.0,2.0,4060.155145559075,1.0,0.0,5,2,1,2,high_intent_abandoner
CUST00051,117.0,3.0,5053.402453743736,2.0,0.0,5,3,2,2,high_intent_abandoner
CUST00052,246.0,3.0,3456.2832343642713,0.0,0.0,0,2,2,1,dormant_customers
CUST00053,526.0,2.0,4699.561246232605,0.0,0.0,4,1,1,2,high_intent_abandoner
CUST00054,150.0,2.0,5724.597259625144,4.0,0.0,1,2,1,3,dormant_customers
CUST00055,165.0,6.0,11378.698717312434,0.0,0.16666666666666666,3,2,5,5,at_risk_customers
CUST00056,196.0,5.0,11386.849121432297,0.0,0.4,2,2,4,5,at_risk_customers
CUST00057,96.0,3.0,8061.562461136986,2.0,0.0,2,3,2,4,discount_sensitive_customers
CUST00058,301.0,3.0,3841.838656300224,2.0,0.6666666666666666,3,1,2,2,high_intent_abandoner
CUST00059,74.0,3.0,1905.9325364397391,0.0,0.0,5,4,2,1,high_intent_abandoner
CUST00060,136.0,3.0,2681.4442172856525,1.0,0.0,0,3,2,1,discount_sensitive_customers
CUST00061,105.0,6.0,12094.627699600836,0.0,0.0,1,3,5,5,loyal_customers
CUST00062,14.0,5.0,8704.7439298808,1.0,0.0,4,5,4,4,champions
CUST00063,73.0,3.0,3684.895991839287,0.0,0.0,3,4,2,2,high_intent_abandoner
CUST00064,438.0,1.0,1389.131770259069,1.0,0.0,1,1,1,1,dormant_customers
CUST00065,177.0,3.0,5109.724312927125,0.0,0.0,2,2,2,2,dormant_customers
CUST00066,187.0,3.0,5331.514073760305,0.0,0.3333333333333333,1,2,2,2,dormant_customers
CUST00067,146.0,5.0,10114.430110405454,0.0,0.0,5,3,4,4,loyal_customers
CUST00068,18.0,4.0,9335.190292464344,0.0,0.25,4,5,3,4,loyal_customers
CUST00069,114.0,5.0,9520.322661078259,1.0,0.2,1,3,4,4,loyal_customers
CUST00070,37.0,3.0,6663.7933969999,0.0,0.0,5,4,2,3,high_intent_abandoner
CUST00071,265.0,2.0,2803.657417957564,1.0,0.0,2,1,1,1,dormant_customers
CUST00072,187.0,6.0,8490.380936846514,0.0,0.0,4,2,5,4,at_risk_customers
CUST00073,11.0,5.0,2986.900374406837,0.0,0.0,4,5,4,1,discount_sensitive_customers
CUST00074,368.0,3.0,4284.3571463233675,2.0,0.0,4,1,2,2,high_intent_abandoner
CUST00075,185.0,5.0,11969.99125067785,0.0,0.0,2,2,4,5,at_risk_customers
CUST00076,182.0,5.0,5538.1781981028,0.0,0.4,0,2,4,3,at_risk_customers
CUST00077,103.0,3.0,4054.318759675769,1.0,0.0,2,3,2,2,discount_sensitive_customers
CUST00078,37.0,3.0,5322.941675234089,0.0,0.0,0,4,2,2,new_customers
CUST00079,103.0,3.0,7295.932713331978,0.0,0.0,5,3,2,3,high_intent_abandoner
CUST00080,28.0,3.0,4984.090896523448,0.0,0.0,0,5,2,2,new_customers
CUST00081,29.0,2.0,4806.426340488519,1.0,0.0,2,5,1,2,new_customers
CUST00082,38.0,7.0,11221.593287996147,0.0,0.0,5,4,5,5,champions
CUST00083,87.0,6.0,11244.82581084616,2.0,0.0,1,3,5,5,high_value_unhappy
CUST00084,157.0,3.0,5816.3597924351225,1.0,0.0,2,2,2,3,dormant_customers
CUST00085,15.0,3.0,6393.027782428864,3.0,0.0,4,5,2,3,high_intent_abandoner
CUST00086,402.0,5.0,10235.266628864621,0.0,0.0,1,1,4,4,at_risk_customers
